question,answer
hello sir do i need to watch the live sessions in each module after the completion of course videos of each module or can i first watch all the course videos complete the assignments and then watch the live sessions? watching live sessions are necessary for assignment completion or should i watch them after i have completed the assignments?,we recommend you to watch the live sessions associated with each topic immediately after finishing the chapter asociated with that topic. this way you could learn the topic in much more depth as most of the live sessions are the deep dives of the topics.
dear team a small suggestion to implement if possible. could you please highlight the item of table of content in the right if we are watching the particular item video ? for example module 3 chapter 1 we have 20.4 as bag of words. if we are watching the same bag of words item on the right side in table of content should be highlighted.,thanks for your suggestion
could you please add comment section under each assignment in classroom so we can get clarifications and clear our doubts about the corresponding assignment. the slack does not help as it is not inituitive to use also we cant even see past comments beyond few days. it being not organized as per assignment also makes it even difficult to use. the video in assignment is not enough as lot of time we are stuck trying to solve a problem because of a assumption we eneded up making just having a comment section helps in removing and clarifying those doubts. a comment section below each assignment would help a lot.,there is a comment section for each assignment but you can access it once you try to submit the assignment please refer to this link. the comment section is placed on the left side of the image.
it would be preferable to have a comment section where the details of assignment are given. as there is lot of small doubts about what the assignemnt is asking or when there is a bit of ambiguity eg in formulas if everything is in summation or part of it. or if while taking samples is it with or without replacement. such little confusion take up a lot of time. so if others have such issues those can be resolved in comment and can be answered. because the team still takes a day to answer. common doubts can quickly get resolved as once the team answers the confusion can be removed once for all,thanks for the suggestion
1.do we have to complete the live session videos in chapter 1 compulsorily to get course completion? 2. will it be added for other modules as well apart from python?,just to clarify course completion is not about the video completion but about the assignment completion
do you recommend 1st year engineering students to join the course or wait till second year till all the fundamentals of cs is clear?,first year student can join because all the programming fundamentals are also covered in the course. person with no programming background can join.
hello team thanks for the new look of the website with additional features. just wanted to provide some suggestion on the navigation of the particular topic w.r.t breadcrumbs on the top in each of the topic page. for example log normal distribution in probability and statistics can be displayed like below: home - courses - applied machine learning online course- data science : explanatory data analysis and data visualization - probability and statistics - 12.15 log normal distribution now it's displaying like below : home - courses - applied machine learning online course- log normal distribution if the same is implemented we can navigate to any of the module chapter or topic etc.,thank you for the feedback we will include it in our next iteration of updates.
sir which white board tool youare using for conducting the session?,we use ink2go.
do we need to do log transformation on both dependent variable and independents variables in linear and logistic regression,usually it is done on independent variables.
sir..as srikanth sir mentioned in live session there will be interview questions after each chapter.. but i cant able to find that.. can you please guide me where ill found that or give any link of them..,in each module you can find a few chapters named 'interview questions on topic'. the questions start from probability and statistics chapter.
hi sir i wanted to know what type of projects we can put in resumes after completing the course as we cant put netflix recommendation system amazon food reviews as our projects so please suggest what type of projects we can put in resume to get calls.,you can put the case studies covered in the course as projects in your resume. but we would suggest you put your own self case studies other than those covered in the course. you will get more ideas as you go through videos.
hi for microsoft malware case study can i do this on google colab instead of google cloud or azure ?because i cant do it on local machine.,yes you can run that on google colab.
have this course contain anything about reinforcement learning?,as of now reinforcement learning is not yet added but in future we may add it to the course.
please add it in the course because without reinforcement learning ai is incomplete i think.,thanks for the suggestion
have this course contain any videos about q learning?,no we have not covered q-learning in this course.
sir can i get a job in tier-1 companies just with the completion of this course with 80 in assessments or i will have to do something else additional .,yes you have to finish the case studies in this course and we have mentors to guide you in preparation for the companies you target for and also we help you with profile building that matches the company's expectations.
can in this course have any content for in depth use of various deep learning libraries like tensorflow and pytorch keras etc.,we have used tensorflow and keras in the course.
can i get any certificate after finish this course ?,yes you will get a course completion certificate if you finish all the assignments and get them evaluated.
what the system requirement need for this course.,it is good to have a laptop with around 8gb of ram minimum with i7 processor 4g graphics card from nvidia if you want to run deep learning programs which is optional generally 1050ti and above is preferable . you can also look into google colab for running the code.
if i use google colab then can i use properly all of things in this course or it give me a limitation.,you can use google colab. there is no limitation.
hello what are the prerequisites to join this course? do we need to know any programming languages or have an understanding of ai?,there are no prerequisites for this course. a programming language is taught in the course.
hi team i want to learn datastructure and algorithms.and i know only python which i learned from here.so please guide me.,you can refer geeksforgeeks to learn data structures and algorithms. you also can refer the book introduction to algorithms here.
please increase the logged in session time. after watching a 30 min video it again ask for login. it is really frustrating to keep login every time. once the login is done it redirects to the main website page then again we have to traverse to machine learning course page then again to our module and then click to next video. please understand this minute but irritating problem and solve it. thanks,thank you for the feedback. we will do the needful.
what can the applieai team say about the average package from the job gaurantee programme for a fresher ??,the average package for a candidate depends on different factors like the candidate's educational background skillset the candidate possess type of the company the candidate is trying for type of projects/portfolio the candidate has worked on etc. we suggest you to kindly call us on 91-8106-920-029 for further queries regarding the job guarantee program.
hi team is there a place where we can view all the questions we have asked on this platform along with the responses received? that way its much easier to reference than checking/finding for the right email after some time. thanks akeel,hi. we do not have that feature yet.
hi team suppose i am on a specific video but i visit the webpage after a few hours. the website says content restricted. please login which is fine. however after i login i am taken bacvk to the homepage where i have to again go to a chapter and select that video. is it possible to automatically relog me back in to the current page i am on. that would be great thanks :,we will check once if we have any bug we will try to remove that. but f you are not logged in any other computer then you will go the same page where the session got inactivated because of time. if the session got inactivated because of the other login from another ip then after relogin it will go to the main page.
hi team thanks for the response. it appears that if i click on a video after my login has expired it says 'content restricted .. please login'. after i login i am redirected to the course home page. note that i am using the same ip.,thanks for your confirmation. we will look into this issue with our sde team. if we have any bug we will rectify it.
there is no real-world case study on solving regression problem. if there is one case study on that too then it would be very helpful.,please look into taxi demand prediction case study.
hi team thanks a lot for the great course .one suggestion i would like to add here .most of the candidates may ask questions that are not relevant or that question is already posted in comment sections so its fair from your side not to approve those comments . but we all know each and every doubt is important so even if you do not approve please send one mail elaborating doubt and the reason for not approving those comment . it would help a lot .,thanks for your suggestion and we are doing the same thing now.
can you please suggest some reference textbooks that can be used along this course.,https://github.com/yanshengjia/ml-road/blob/master/resources/hands 20on 20machine 20learning 20with 20scikit 20learn 20and 20tensorflow.pdf check out this
there is a lot of inconsistency in video players of each lecture. sometimes its a youtube player which when paused shows recommendations which most of the times blocks the entire screen when watching on phone. sometime its a vimeo video player which sometimes has but sometimes does not have a full screen option. each page does have a full screen option which covers the page not much issue on a browser but a big issue in phone as browser address bar take a lot of space. other times the video player has full screen option which properly goes full screen. the problem is none of this is consistent constantly the format switches from lecture to lecture. which bearable on a laptop but extremely problamatic on a phone. could all the videos use one consistent video player. which does not show recommended videos gives a proper full screen option and a video playback speed modifier almost available on all videos when watching on laptop but missing in half the videos when watching from phone . consistently without any constant changing formats its a big issue when trying to view on phones. please do the needfull,thank you for the feedback. we will look into it.
i have reached the end of module-1. should i do sql now or after deep learning?,we suggest you to attempt sql assignment after finishing the deep learning assignments as we advise you not to waste much time on sql right now.
in module 3 often there is reference to sql database while importing the data. so would u suggest doing sql at the end of module -1 or after deep learning ?,you can work on sql assignment after completing deep learning assignments.
one suggestion:- if possible please try to add content around the model interpretation like lime shapley pdp etc and an introuction to git and github will also be a value add,thank you for the suggestion. we will look into it.
i have mechanical engineering degree with 3 years it experience of rest api developer. 1 what is the path to go into product base company except ml course? 2 will they consider my experience?,please call us at 91 8106-920-029 or 91 6301-939-583 so that we can better understand your background and discuss with you in person
one concern:i am good at math logics and having experience of 2.8 years in programming .all the concepts till now i understood thoroughly but deep down i am scared that i may not complete course. i need some information like what is the minimum days that a student completed the course and landed in an ml job because i am from ece background deep inside me i had a feeling like what i have studied is wasted.here i am able to see vector matrix pdf cdf mean all the concepts which i have studied in my btech and 12th.i need some guidence and motivation,kindly mail us with this query and we will help you .you can call us at the provided phone number.
if you could provide a quick notes/bookmark option under each video dedicated to the user it really helps during our revision to quickly look back to important sections and videos. also a search mechanism when searched for a key work ex: covariance related videos popuping down would be a really helpful feature,okay we will consider this suggestion.kindly post the suggestion in our slack channel from now onwards.
one suggestion - please add applied ai course as a school as well on linkedin so that we can show what we have learned in detail.,you will actually get a certificate from appliedai once if you finish all the assignments. you can add the softcopy of this certificate on your linkedin profile and make it visible to the recruiters.
loved the way this new site is responding and the overall look and feel but a small suggestion only if its possible. is there a way you can showcase the total number of hours per module and overall hours. i understand that you mentioned that to be 150 hours but if we have the number of hours per module we can plan on completing the course module wise. just a suggestion not a mandatory ask. thank you.,sure we will be adding this feature soon.
new website is awesome. 1 suggestion: please add progress bar under module to track which sub-topic is not complete or you can add green tick if a sub-topic is complete. otherwise its cumbersome to track.,the percentage of completion of each module is already present in the website. within that if you have finished any sub-topic and have clicked on complete option then you will be able to see a green color tick mark
will registering for the course give me access to videos for unlimited amount of time?,the access to the course will be given for a period of 1 year. you have to finish the course within an year.
after finishing course what if i want to browse some of the videos later 2 or 3 years ? will i have access ?,at this point of time videos are accessible for 365 days only.
loved new ui of the applied ai. it's much stable dan previous one. ?,thank you for the feedback.
recently i was using old version of website. the some of the videos i completed are not showing in completed status in new website.,we are working towards it. within a short time it gets resolved.
hi team is this problem resolved bcos i am still facing this issue.,it has been resolved long back. please make sure you are logged in and check for the course and video status.
the individual progress is being displayed but not the overall process like in old site that also can be added.,yes it will be added soon
hi can you please clarity a doubt . will google automl eliminate the need for ml specialists in future ? please share your views regarding this. thanks pankaj,audio replies: https://soundcloud.com/applied-ai-course/automl-vs-ml-engineer https://soundcloud.com/applied-ai-course/automated-ml
the content in each of the videos are intuitive also many tough topics are elucidated clearly. i really appreciate if you could also include more deep learning content along with reinforcement learning content which is totally absent in the course.,we intentionally left out reinforcement learning not to overwhelm the students. we have covered most of the key concepts in deep learning and would surely add more in the near future. thank you for your feedback.
sir i had 10 years of teaching experience in academics. i teach courses like probability and stochastic process image processing. i am presently pursuing phd on speech recognition . i am specifically oriented towards speech recognition and deep speech. i glanced through course and contents in deep learning as well. so will this course give enough prerequisites to understand and implement deep speech. or in other way can i choose project from deep speech which really helps in broaden my skills for my research? ps: i am also looking for job change after successful completion of assignments and project exclusively on speech can i expect assistance to specifically look at companies working on speech?,hi veerender this course covers all of the basics you need to build deep-learning based speech systems. we will also closely work with you on speech dl based projects. but we cannot guarantee you a job in the speech domain exclusively as there are limited openings in speech processing in india. we will certainly assist you but cannot guarantee you. if you are open to other areas of ml our job guarantee program is anyway applicable to all of our students.
hi i have 10 years of exp in it industry. i worked for 5 years in web development and past 5 years working as sql server senior developer. i have the background of stats in my degree. after learning your course can i get a job assistance in getting the opportunity from you. thanks,please call us at 91 8106-920-029 or 91 6301-939-583 so that we understand your current role and better answer your question more accurately.
i have more than 10yrs of work experience primarily in it application development and maintenance. upon completion of this course will i get assistance from you for getting into a senior data scientist role with a significant upgrade in my pay package. i am open to discuss specifics over a call.,please call us 91 8106-920-029 or 91 6301-939-583 so that we understand your current role and compensation better and be able to answer your question more accurately.
1. do you also cover the markov models? 2. also do you teach image processing as part of the course? as it will be required in few of the case studies that involve data as images 3. the case studies that are mention in the end like human activity recognition do you only give a brief overview or they are taught like rest of the others in detail? how do you go about teaching them? 4. we have to choose which case studies to pursue or we can try all of them out? how exactly do you go ahead about them?,audio reply: https://soundcloud.com/applied-ai-course/mehek-kawatra-comment/s-qvvlj
hi sir its better if the course includes a separate section for sequence models where the section involves techniques like hmm maximum entropy markov models conditional random fields. these are some of the good algorithms for nlp sequence labeling tasks.,audio reply: https://soundcloud.com/applied-ai-course/hmm-and-crf
the topics that are covered in aaic is so extensive that you would anyway feel overwhelmed but if you still need to cover hmms please do check out siraj's move 37 https://www.theschool.ai/courses/move-37-course/,mayukh we have not covered hmms as most applications like nlp and speech recognition which used hmms a decade back currently use rnns which we cover in lots of detail in this course including multiple case studies involving rnns. we have tried to cover the most important techniques used in the industry today and avoid those which are not extensively used as of now. but the course gives you the necessary tools and basics to learn most concepts of ml/ai at the end of the course as no course can cover everything.
hello i know that and i have told exactly that thing only. that aaic is very extensive. but if for some reason anyone still needs to cover hmms then that link would be useful. giving an additional resource would never harm right. ps. i am already pursuing aaic,thank you mayukh. certainly more resources are always better as students can get a broader perspective on various topics.
i m a fresher .after completing the entire course can i directly start my career as a data scientist?,yes you can read the success stories on our websites. there are many freshers who started their careers as data scientist.
dear sir could the sum of minutes related with all the subtopics be displayed and then total sum for each module? this could help in planning our study. like sum of video-minutes for ...plotting for exploratory data analysis eda ....and same for all other subtopics and then total sum of minutes for module 2....,hi thanks for the feedback for now we mentioned the time for each submodule within a chapter we will try to add total time for all the modules and chapter soon. please mail us to team@appliedaicourse.com for further queries regarding the changes you need.
is it a self-paced course? any time restrictions?,the complete course has a validity of 1 year. there are no deadlines for any chapter or assignment completion.
what is the process to join the slack group ?,please mail the team regarding that and they will add you.
can we apply for python developer job after completion of module1 or anything extra i need to learn?,yes you can but you have to cover some more advanced topics like multi-threading oops concept etc in python along with the learning from the course
sir please do add the option of un-complete also.,if you do not click the complete button it is anyway incomplete.
please give the option to move to the next video in full screen without coming back to normal and move to the next video.,please close the currecnt video and select the next one.we will implement the same in short duration.
you can also implement a autoplay option to the next video right from the full screen mode of the current video,thank you for the suggestion we will certainly look into that
hello my system configuration is processor - amd a8 with r5 graphics ram - 4gb if i just increase ram to 8gb would configuration be fine to go ahead? thanks,yes it will be enough. and also we can always use google colab which you will learn in future videos
sir i am from non coding background though i understand the concept of python i am also trained in tableau . but the real job scenario is demanding 1-3 yrs experience in relevant field..... is it sure after this training job is guareented . do u provide class room training......,please call us at 91 8106-920-029 or 91 6301-939-583 so that we can better understand your background and discuss with you in person.
hello i have spent close to 18 years in it industry performing various roles as a qa dev support and lately at management levels. my core skill is in designing solutions for business and testing. i wish to make a career shift in ai ml domain. let me know if this is right move at this stage of my career and if there are enough opportunities for people of my age and experience.,tushar it is best to discuss this over the phone so that we can better understand your background and give you critical and comprehensive feedback. please call us on 91 8106-920-029 or 91 6301-939-583.
hi 1 i am coming from mainframe and from last three year i am in big data support project having working knowledge of hive hadoop sqoop etc and understanding of spark-scala python core java from company training and self learning . though when ever i tried for interview since i am 12 work exp question come around like architecture and not like developer. so what interview question company will be expecting for mi knowing that if they investing me with good money they need more from me as total work of years experience. 2 for doing assignment do we have mentor-student and student-student forum where we can clear our doubts ?,audio reply: https://soundcloud.com/applied-ai-course/comment-big-data/s-89yg0
hello sir is text mining a part of the content?,yes we cover some of the most-used and key concepts in text mining through the course from simple bag-of-words tf-idf to more complex word2vec and lstm networks which are state-of-the-art in text mining. we also have multiple case-studies that focus on text/nlp related problems.
please add the more videos thats makes the to study easily,can you please elaborate on more . are you asking about new content? if yes can you provide us which content are you talking about?
previous website theme was much better. have you also changed the content of the course? also thank you for adding emi option,the content has been the same. it is only the ui and some functionalities that have been changed.
in how many months can we completel this full course??,you can complete it within 1 year.
what kind of hardware required to complete the assignment i have i3 processor with 8 gb of ram and i do not have gpu right now. can i train model in google colab for the assignments,8 gb ram is fine. yes you can use google colab.
i have been watching some of the latest live sessions and they are really good thank you for the hard word of putting them together especially in these conditions. i would like to get some feedback on my blog here : https://medium.com/@ndharap/beyond-classification-with-transformers-and-hugging-face-d38c75f574fb is this the right place to post? nikhil,can you please write an email to the team@appliedaicourse.com about feedback to your blog?
i am an electrical engineer in a psu. i would like to know how the course is going to be helpful to someone with no programming experience non-it . moreover i would also like to know whether i will be getting a certification if i would not opt for no guaranteed placement.,yes you will get a certification. you will understand underlying mathematical details of machine learning models building first cut machine learning models deployment of them
i am just trying to define these three definitions in my own understanding. please correct me if i am wrong. data science: data science is the art/technique of deriving some meaningful insights from the data by applying scientific methodologies. the data could be either structured or un-structured the methods could be maths statistics or even some formulas from domain specific . all we do is extract information and patterns in that data visualize the data and observe nature/tendencies in it. machine learning: it is a set of techniques by which we make a computer program model to understand underlying pattern by applying an algorithm. its like a defining a theorm model with proof accuracy . in a single word : understand the actual past data pattern - predict unseen/future data deep learning: it is same as machine learning however there are extra layers or further deep understanding in patterns for most un-structured data. for example images videos. artificial intelligence: it is process of making a system to mimic a human being which could eventually does the task and even can think on its own. an ideal ai system could even learn on its own i.e understand the data on its own suggest algos on its own.,yes correct. we had a video on this. please go through it. refer this
why there is no tableau content?feeling disappointed everything about this syllabus was good missing data visualization main tools,we do consider your suggestion of adding tableau content aswell
